init time, 49.02332139015198 
0, 15.126453876495361, 1276999.0399162003 
1, 12.227901935577393, 1267883.092467922 
2, 12.755089044570923, 1264861.7774491222 
3, 12.374764680862427, 1261839.018049246 
4, 26.158014059066772, 1261839.018049246 
5, 18.25239396095276, 1261839.018049246 
6, 15.248387575149536, 1261839.018049246 
7, 15.471478462219238, 1261839.018049246 
8, 15.674813508987427, 1261839.018049246 
9, 44.28020644187927, 1261839.018049246 
10, 31.110318899154663, 1261839.018049246 
11, 27.815046787261963, 1261839.018049246 
12, 27.64240026473999, 1261839.018049246 
13, 27.28231930732727, 1261839.018049246 
14, 95.51618719100952, 1261839.018049246 
15, 81.19427347183228, 1261839.018049246 
16, 79.11750102043152, 1261839.018049246 
17, 68.5990240573883, 1261839.018049246 
18, 77.06044697761536, 1261839.018049246 
19, 192.47110533714294, 1261839.018049246 
20, 269.21434926986694, 1261839.018049246 
21, 249.60745429992676, 1261839.018049246 
22, 239.18126225471497, 1261839.018049246 
23, 245.31172966957092, 1261839.018049246 
24, 245.51606583595276, 1261839.018049246 
25, 239.89962029457092, 1261839.018049246 
26, 249.48589086532593, 1261839.018049246 
27, 251.91549730300903, 1261839.018049246 
28, 245.62430453300476, 1261839.018049246 
29, 240.61379647254944, 1261839.018049246 
30, 243.83501410484314, 1261839.018049246 
31, 248.2291703224182, 1261839.018049246 
32, 248.33373498916626, 1261839.018049246 
33, 240.75065684318542, 1261839.018049246 
34, 246.49864029884338, 1261839.018049246 
35, 253.4629888534546, 1261839.018049246 
36, 245.11081314086914, 1261839.018049246 
37, 239.33995151519775, 1261839.018049246 
38, 247.79154086112976, 1261839.018049246 
39, 253.37687706947327, 1261839.018049246 
40, 248.73507380485535, 1261839.018049246 
41, 244.80603098869324, 1261839.018049246 
42, 249.87783336639404, 1261839.018049246 
43, 247.17385149002075, 1261839.018049246 
44, 246.88736391067505, 1261839.018049246 
45, 245.31202006340027, 1261839.018049246 
46, 251.8136055469513, 1261839.018049246 
47, 248.29569816589355, 1261839.018049246 
48, 241.1994149684906, 1261839.018049246 
49, 249.59471535682678, 1261839.018049246 
50, 247.9897952079773, 1261839.018049246 
51, 249.7053782939911, 1261839.018049246 
52, 238.48980355262756, 1261839.018049246 
53, 247.8207230567932, 1261839.018049246 
54, 249.15709805488586, 1261839.018049246 
55, 250.9883713722229, 1261839.018049246 
56, 241.98273539543152, 1261839.018049246 
57, 253.10127520561218, 1261839.018049246 
58, 252.6956398487091, 1261839.018049246 
59, 248.4401774406433, 1261839.018049246 
60, 237.709086894989, 1261839.018049246 
61, 249.85011267662048, 1261839.018049246 
62, 254.11310386657715, 1261839.018049246 
63, 252.18729829788208, 1261839.018049246 
64, 239.31663489341736, 1261839.018049246 
65, 253.5384120941162, 1261839.018049246 
66, 255.4420599937439, 1261839.018049246 
67, 253.68804168701172, 1261839.018049246 
68, 249.57089853286743, 1261839.018049246 
69, 241.58247900009155, 1261839.018049246 
70, 253.26847648620605, 1261839.018049246 
71, 254.22736144065857, 1261839.018049246 
72, 248.75952124595642, 1261839.018049246 
73, 244.67819929122925, 1261839.018049246 
74, 247.87716913223267, 1261839.018049246 
75, 247.24543738365173, 1261839.018049246 
76, 235.12464451789856, 1261839.018049246 
77, 249.81890630722046, 1261839.018049246 
78, 254.82404160499573, 1261839.018049246 
79, 250.33676600456238, 1261839.018049246 
80, 245.3785879611969, 1261839.018049246 
81, 253.96966075897217, 1261839.018049246 
82, 244.82907557487488, 1261839.018049246 
83, 251.11116552352905, 1261839.018049246 
84, 249.23294496536255, 1261839.018049246 
85, 248.70526266098022, 1261839.018049246 
86, 244.30390119552612, 1261839.018049246 
87, 251.92500591278076, 1261839.018049246 
88, 249.92172479629517, 1261839.018049246 
89, 252.27576613426208, 1261839.018049246 
90, 247.17718648910522, 1261839.018049246 
91, 290.1926727294922, 1261839.018049246 
92, 243.93920850753784, 1261839.018049246 
93, 248.4440803527832, 1261839.018049246 
94, 245.88125109672546, 1261839.018049246 
95, 248.2236316204071, 1261839.018049246 
96, 245.2927713394165, 1261839.018049246 
97, 249.96872520446777, 1261839.018049246 
98, 248.08979034423828, 1261839.018049246 
99, 250.93832445144653, 1261839.018049246 
100, 236.69664788246155, 1261839.018049246 
101, 250.23328590393066, 1261839.018049246 
102, 248.3966064453125, 1261839.018049246 
103, 244.28881001472473, 1261839.018049246 
104, 242.4684829711914, 1261839.018049246 
105, 255.8576786518097, 1261839.018049246 
106, 253.12120532989502, 1261839.018049246 
107, 248.55888867378235, 1261839.018049246 
108, 232.96429800987244, 1261839.018049246 
109, 253.3406422138214, 1261839.018049246 
110, 247.03840374946594, 1261839.018049246 
111, 245.31918931007385, 1261839.018049246 
112, 241.44301843643188, 1261839.018049246 
113, 247.39093279838562, 1261839.018049246 
114, 244.719464302063, 1261839.018049246 
115, 238.84513092041016, 1261839.018049246 
116, 248.0221836566925, 1261839.018049246 
117, 249.23313450813293, 1261839.018049246 
118, 241.85182356834412, 1261839.018049246 
119, 247.77045011520386, 1261839.018049246 
120, 254.0764615535736, 1261839.018049246 
121, 247.1288595199585, 1261839.018049246 
122, 240.35361790657043, 1261839.018049246 
123, 254.78844928741455, 1261839.018049246 
124, 250.41432738304138, 1261839.018049246 
125, 246.66988968849182, 1261839.018049246 
126, 238.1996705532074, 1261839.018049246 
127, 247.72624492645264, 1261839.018049246 
128, 245.4270625114441, 1261839.018049246 
129, 239.33025598526, 1261839.018049246 
130, 248.99672770500183, 1261839.018049246 
131, 246.1447033882141, 1261839.018049246 
