init time, 849.4033648967743 
0, 4.461648225784302, 1229227.99911191 
1, 4.256080150604248, 1229227.99911191 
2, 4.2002575397491455, 1229227.99911191 
3, 4.109925985336304, 1229227.99911191 
4, 6.588813781738281, 1229227.99911191 
5, 5.003348112106323, 1229227.99911191 
6, 5.025172710418701, 1229227.99911191 
7, 5.587339878082275, 1229227.99911191 
8, 5.13741135597229, 1229227.99911191 
9, 9.262094020843506, 1229227.99911191 
10, 5.6205503940582275, 1229227.99911191 
11, 5.495641469955444, 1229227.99911191 
12, 5.208028793334961, 1229227.99911191 
13, 5.465689182281494, 1229227.99911191 
14, 14.457282781600952, 1229227.99911191 
15, 13.689904928207397, 1229227.99911191 
16, 12.254865407943726, 1229227.99911191 
17, 12.325043439865112, 1229227.99911191 
18, 12.058886528015137, 1229227.99911191 
19, 30.693779230117798, 1229227.99911191 
20, 43.88319706916809, 1229227.99911191 
21, 37.60877466201782, 1229227.99911191 
22, 36.77500557899475, 1229227.99911191 
23, 39.38679051399231, 1229227.99911191 
24, 37.423404693603516, 1229227.99911191 
25, 36.56078815460205, 1229227.99911191 
26, 36.89344668388367, 1229227.99911191 
27, 38.38860249519348, 1229227.99911191 
28, 37.723647117614746, 1229227.99911191 
29, 38.48970699310303, 1229227.99911191 
30, 38.20930600166321, 1229227.99911191 
31, 36.25248122215271, 1229227.99911191 
32, 38.420433044433594, 1229227.99911191 
33, 37.30939698219299, 1229227.99911191 
34, 37.987030029296875, 1229227.99911191 
35, 37.575135469436646, 1229227.99911191 
36, 38.15298008918762, 1229227.99911191 
37, 37.985382080078125, 1229227.99911191 
38, 38.87899708747864, 1229227.99911191 
39, 36.14966154098511, 1229227.99911191 
40, 38.65563654899597, 1229227.99911191 
41, 36.93724036216736, 1229227.99911191 
42, 37.623265981674194, 1229227.99911191 
43, 38.73901176452637, 1229227.99911191 
44, 37.89595699310303, 1229227.99911191 
45, 36.8323609828949, 1229227.99911191 
46, 37.70636463165283, 1229227.99911191 
47, 39.30510902404785, 1229227.99911191 
48, 38.614853382110596, 1229227.99911191 
49, 37.373745918273926, 1229227.99911191 
